LastName,FirstName,Phone,Acct,Amount,Date
Cloud,Lennie,(515) 939-4225,SD32748200,$62.60 ,12/12/52
Bird,Bridgett,(313) 966-5499,QT62121363,$819.74 ,6/3/52
Bullard,Yukiko,(101) 219-6250,XI71419317,$399.70 ,4/23/52
Gaston,Gricelda,(101) 930-4436,KB25168634,$761.37 ,11/10/52
Curran,Marybeth,(101) 556-7878,GS27656664,$271.66 ,12/3/52
Graham,Jesse,(101) 114-3855,OS43923854,$539.79 ,9/3/52
Dorman,Denver,(313) 224-1324,IE38271069,$723.84 ,3/29/52
Duffy,Davida,(313) 751-9118,XK69920126,$374.11 ,9/24/52
Bonilla,Gertrudis,(515) 370-2652,RA66777672,$53.99 ,9/5/52
Gleason,Lasonya,(101) 452-5714,XZ72026932,$993.78 ,8/2/52
Fowler,Thomasine,(985) 529-9596,KV98215691,$471.76 ,4/12/52
Braun,Kandi,(985) 818-2503,MY92012572,$971.40 ,8/25/52
Culver,Isobel,(241) 574-6345,YE46326415,$504.91 ,8/2/52
Garza,Coralie,(241) 460-5344,CT56216137,$155.30 ,5/29/52
Garvin,Rosalba,(241) 718-8781,XL99747835,$7.70 ,7/22/52
Bass,Willene,(101) 837-1653,EE23060513,$912.52 ,4/16/52
Cherry,Shonna,(985) 318-9534,YH63485833,$298.50 ,11/3/52
Barton,Ilene,(241) 595-2362,WQ87994441,$311.45 ,9/23/52
Daley,Carma,(101) 766-2754,VX16280329,$941.78 ,6/21/52
Cottrell,Collen,(241) 253-8532,NU59547697,$88.47 ,11/14/52
Baird,Willis,(515) 929-2344,NH76289131,$46.00 ,3/11/52
Anaya,Janis,(985) 237-1279,WO30458968,$129.11 ,8/23/52
Gordon,Glenn,(515) 923-4436,GO15909512,$5.24 ,1/17/52
Frank,Ned,(313) 323-1938,GJ39632163,$579.24 ,7/7/52
Bender,Larissa,(985) 783-2045,QK24407868,$572.97 ,2/16/52
Andrews,Andre,(241) 192-3944,WI36805141,$920.27 ,11/24/52
Elmore,Natacha,(515) 996-2669,MO42520894,$516.25 ,7/8/52
Brunner,Eric,(241) 307-4364,RD46148816,$222.58 ,6/1/52
Denney,Dolly,(313) 668-4001,CL89918731,$408.40 ,12/29/52
Camp,Bryant,(101) 191-7498,UR44467423,$429.66 ,5/23/52
Bowser,Billie,(313) 211-6673,WT94045377,$632.64 ,2/10/52
Frazier,Vivien,(985) 377-6986,ZC37857131,$973.37 ,1/30/52
Drew,Ken,(241) 800-8480,VB48943203,$440.40 ,12/12/52
Dobson,Latrisha,(313) 777-1510,QT99586651,$367.82 ,1/1/52
Gonzalez,Asley,(515) 320-5278,ZG69949860,$242.54 ,1/8/52
Fields,Sibyl,(101) 252-6638,EQ32775781,$570.20 ,3/5/52
Ervin,Robena,(241) 561-5306,DD91688279,$486.39 ,9/3/52
Deaton,Wendolyn,(985) 434-7848,TQ39891166,$939.27 ,12/1/52
Flint,Val,(985) 653-9691,OH55745466,$506.80 ,4/19/52
Dwyer,Shantel,(101) 624-5466,FV36451329,$987.99 ,11/11/52
